Year,Day,Region
2021,1/04/2021,Castilla-La Mancha
2021,1/04/2021,Extremadura
2021,1/04/2021,Galicia
2021,1/04/2021,La Rioja
2021,1/04/2021,Madrid
2021,1/04/2021,Murcia
2021,1/04/2021,Navarra
2021,1/04/2021,País Vasco
2021,5/04/2021,Cataluña
2021,5/04/2021,Comunidad Valenciana
2021,5/04/2021,La Rioja
2021,5/04/2021,Navarra
2021,5/04/2021,País Vasco
2021,23/04/2021,Aragón
2021,23/04/2021,Castilla y León
2021,3/05/2021,Madrid
2021,17/05/2021,Galicia
2021,31/05/2021,Castilla-La Mancha
2021,3/06/2021,Castilla-La Mancha
2021,9/06/2021,La Rioja
2021,9/06/2021,Murcia
2021,24/06/2021,Cataluña
2021,24/06/2021,Comunidad Valenciana
2021,28/07/2021,Cantabria
2021,16/08/2021,Andalucía
2021,16/08/2021,Aragón
2021,16/08/2021,Asturias
2021,16/08/2021,Castilla y León
2021,8/09/2021,Asturias
2021,8/09/2021,Extremadura
2021,11/09/2021,Cataluña
2021,15/09/2021,Cantabria
2021,9/10/2021,Comunidad Valenciana
2021,12/10/2021,Nacional
2021,1/11/2021,Nacional
2021,6/12/2021,Nacional
2021,8/12/2021,Nacional
2022,6/01/2022,Nacional
2022,15/04/2022,Nacional
2022,15/08/2022,Nacional
2022,12/10/2022,Nacional
2022,1/11/2022,Nacional
2022,6/12/2022,Nacional
2022,8/12/2022,Nacional
2022,28/02/2022,Andalucía
2022,14/04/2022,Andalucía
2022,14/04/2022,Aragón
2022,14/04/2022,Asturias
2022,14/04/2022,Cantabria
2022,14/04/2022,Castilla-La Mancha
2022,14/04/2022,Extremadura
2022,14/04/2022,Galicia
2022,14/04/2022,Murcia
2022,14/04/2022,País Vasco
2022,14/04/2022,La Rioja
2022,14/04/2022,Castilla y León
2022,14/04/2022,Madrid
2022,14/04/2022,Navarra
2022,14/04/2022,Comunidad Valenciana
2022,18/04/2022,Cataluña
2022,18/04/2022,País Vasco
2022,18/04/2022,La Rioja
2022,18/04/2022,Navarra
2022,18/04/2022,Comunidad Valenciana
2022,02/05/2022,Andalucía
2022,02/05/2022,Aragón
2022,02/05/2022,Asturias
2022,02/05/2022,Extremadura
2022,02/05/2022,Murcia
2022,02/05/2022,Castilla y León
2022,02/05/2022,Madrid
2022,17/05/2022,Galicia
2022,31/05/2022,Castilla-La Mancha
2022,06/06/2022,Cataluña
2022,09/06/2022,La Rioja
2022,09/06/2022,Murcia
2022,16/06/2022,Castilla-La Mancha
2022,24/06/2022,Cataluña
2022,24/06/2022,Comunidad Valenciana
2022,24/06/2022,Galicia
2022,25/07/2022,Galicia
2022,25/07/2022,País Vasco
2022,25/07/2022,Madrid
2022,25/07/2022,Navarra
2022,28/07/2022,Cantabria
2022,06/09/2022,País Vasco
2022,08/09/2022,Asturias
2022,08/09/2022,Extremadura
2022,15/09/2022,Cantabria
2022,26/12/2022,Andalucía
2022,26/12/2022,Aragón
2022,26/12/2022,Asturias
2022,26/12/2022,Cantabria
2022,26/12/2022,Castilla-La Mancha
2022,26/12/2022,Extremadura
2022,26/12/2022,Murcia
2022,26/12/2022,La Rioja
2022,26/12/2022,Cataluña
2022,26/12/2022,Castilla y León
2022,26/12/2022,Madrid
2022,26/12/2022,Navarra
